date,open,high,low,close,Ağırlıklı Ortalama,Miktar,volume,sma_5,sma_10,sma_20,sma_21,sma_30,sma_50,sma_100,sma_200,ema_5,ema_8,ema_10,ema_13,ema_20,ema_21,ema_30,ema_50,ema_100,ema_200,hma_9,rsi_14,rsi_7,mfi_14,cci_20,atr_14,momentum_10,ADX_14,DMP_14,DMN_14,adx_14,positivedirectionalindicator_14,negativedirectionalindicator_14,AROOND_14,AROONU_14,AROONOSC_14,aroonu_14,aroond_14,STOCHk_14_3_3,STOCHd_14_3_3,stoch_k,stoch_d,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,stochrsi_k,stochrsi_d,williamspercentr_14,cmf_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,BBM_20_2,bbm_20_2,bbu_20_2,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,macd_line,macd_signal,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,psar,vwap,vwma_20,dcm_20_20,relative_volume,ichimoku_conversionline,ichimoku_baseline,ichimoku_leadingspana,ichimoku_leadingspanb,ichimoku_leadingspana_lead26,ichimoku_leadingspanb_lead26,ichimoku_laggingspan,ITS_9,IKS_26,ISA_9,ISB_26,change_1w_percent
2023-05-26,21.48,21.56,21.17,21.17,21.31,1806182,38490605.39,21.718,21.643,,,,,,,21.619680841335168,21.752847889041306,21.781404958677683,,,,,,,,21.690629629629637,,28.574865914825992,,,,-0.9199999999999982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.60848734968591,0.04,0,23.60848734968591,,,,,21.22,,,,,,25.21,21.22,,,,-3.465572275421791
2023-05-29,21.29,22.17,21.19,21.62,21.74,3836824,83419037.99,21.718,21.659,,,,,,,21.61978722755678,21.723326135921013,21.752058602554467,21.876153846153848,,,,,,,21.44537037037037,,40.40253796960405,,,,0.16000000000000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.440547855698473,0.04,0,23.440547855698473,,,,,21.950000000000003,,,,,,26.26,21.950000000000003,,,,0.0
2023-05-30,21.62,21.97,21.56,21.8,21.74,3511208,76322390.94,21.628000000000004,21.729999999999997,,,,,,,21.679858151704522,21.74036477238301,21.760775220271835,21.865274725274727,,,,,,,21.419999999999998,,44.677724115288,33.75724188214265,,,0.7100000000000009,,,,,,,,,,,,,,,,,,,,-58.93470790378006,,,,,,,,,,,,,,,,23.279325941470535,0.04,0,23.279325941470535,,,,,22.03,,,,,,26.99,22.03,,,,-2.0224719101123556
2023-05-31,21.74,22.93,21.5,22.07,22.24,6641982,147740660.94,21.631999999999998,21.804000000000002,,,,,,,21.809905434469684,21.813617045186785,21.816997907495136,21.894521193092626,,,,,,,21.646703703703704,42.5610521166622,50.84802428107219,36.21279782364578,,1.253787353828044,0.740000000000002,,19.64469599923733,18.88702499242619,,19.64469599923733,18.88702499242619,21.42857142857143,7.14285714285714,-14.285714285714292,7.14285714285714,21.42857142857143,,,,,,,,,-54.295532646048116,,,,,,,,,,,,,,,,23.124552903811715,0.04,0,23.124552903811715,,,,,22.03,,,,,,26.66,22.03,,,,0.09070294784581101
2023-06-01,22.07,22.64,21.56,22.07,22.29,3308183,73731327.1,21.746,21.808,,,,,,,21.89660362297979,21.870591035145278,21.862998287950564,21.919589594079397,,,,,,,21.931962962962967,42.561052116662204,50.84802428107219,61.457092190635336,,1.235286821985712,0.03999999999999915,,17.81631246078837,17.12915988788261,,17.81631246078837,17.12915988788261,14.28571428571429,0.0,-14.28571428571429,0.0,14.28571428571429,53.416807477865746,,53.416807477865746,,,,,,-26.519337016574607,,,,,,,,,,,,,,,,22.975970787659246,0.04,0,22.975970787659246,,,,,22.1,,,,,,28.19,22.1,,,,2.651162790697681
2023-06-02,22.15,22.68,22.03,22.23,22.32,4260382,95070424.33,21.958000000000002,21.838,,,,,,,22.007735748653197,21.950459694001886,21.92972587195955,21.963933937782343,,,,,,,22.176148148148147,45.10720143074145,54.9048460259807,76.1997290974817,,1.1750886433047207,0.3000000000000007,,17.15280205919225,16.154633963683573,,17.15280205919225,16.154633963683573,7.14285714285714,50.0,42.85714285714286,50.0,7.14285714285714,65.69522760785503,,65.69522760785503,,,,,,-22.099447513812166,,,,,,,,,,,,,,,,22.93,0.04,0,22.93,,,,,22.1,,,,,,28.58,22.1,,,,5.0070854983467195
2023-06-05,22.27,22.58,22.19,22.32,22.35,4150959,92787299.74,22.098000000000003,21.907999999999998,,,,,,,22.111823832435466,22.03257976200147,22.00068480433054,22.014800518099154,,,,,,,22.347296296296292,46.54266413568049,57.22189799195569,83.91696375688008,,1.096800476649168,0.6999999999999993,,16.544597767624165,15.58182273018843,,16.544597767624165,15.58182273018843,0.0,42.85714285714286,42.85714285714286,42.85714285714286,0.0,72.83694836641428,63.982994484045015,72.83694836641428,63.982994484045015,,,,,-32.8703703703704,,,,,,,,,,,,,,,,22.7892,0.04,0,22.7892,,,,,22.1,,,,,,29.56,22.1,,,,3.237742830712298
2023-06-06,22.31,22.42,21.58,21.78,22.09,3501676,77340292.23,22.094,21.860999999999997,,,,,,,22.00121588829031,21.976450926001142,21.96056029445226,21.981257586942135,,,,,,,22.273592592592593,39.81506768398219,42.0851438765269,77.77172799475484,,1.0718971418564378,-0.46999999999999886,,15.287282851414352,19.916394935522533,,15.287282851414352,19.916394935522533,0.0,35.71428571428571,35.71428571428571,35.71428571428571,0.0,60.8433940386058,66.45852333762504,60.8433940386058,66.45852333762504,,,,,-62.5,,,,,,,,,,,,,,,,22.68,0.04,0,22.68,,,,,22.05,,,,,,29.97,22.05,,,,-0.09174311926605228
2023-06-07,21.78,21.97,21.34,21.46,21.61,3286923,71018737.45,21.972,21.802,21.906,,,,,,21.820810592193542,21.861684053556445,21.869549331824576,21.906792217378975,21.906000000000002,,,,,,21.97866666666667,36.4524583218473,35.578448042001625,69.25011352072754,-61.382479272799145,1.0301114719968265,-0.5899999999999999,,14.403200333345575,20.96769997072254,,14.403200333345575,20.96769997072254,7.14285714285714,28.57142857142857,21.42857142857143,28.57142857142857,7.14285714285714,42.043209876543195,58.574517427187764,42.043209876543195,58.574517427187764,,,,,-78.50000000000001,-0.31696656592890415,20.61711831419637,21.906,23.194881685803626,11.76738506166007,0.32698179169102176,21.906,21.906,23.194881685803626,,,,,,,22.58,0.04,0,22.58,,22.086879135497593,22.32,0.2965030367927108,22.05,,,,,,28.79,22.05,,,,-2.76393294064341
2023-06-08,21.38,21.68,21.05,21.44,21.47,1552224,33318984.87,21.845999999999997,21.796,21.7655,21.883809523809525,,,,,21.693873728129027,21.767976486099457,21.791449453311017,21.840107614896265,21.86161904761905,21.883809523809525,,,,,21.62055555555555,36.24641491710004,35.18182597616547,76.14209411510319,-92.47447944560754,0.9931324114961139,-0.05999999999999872,,13.558763312904269,22.437165637111566,,13.558763312904269,22.437165637111566,0.0,21.42857142857143,21.42857142857143,21.42857142857143,0.0,26.232323232323235,43.03964238249074,26.232323232323235,43.03964238249074,,,,,-80.30303030303028,-0.4382350391973619,21.039677018826215,21.7655,22.491322981173784,6.669481345926212,0.2757717732541296,21.7655,21.7655,22.491322981173784,,,,,,,22.4532,0.04,0,22.4532,,21.87590424166749,22.32,0.15130700591112467,21.990000000000002,,,,,,30.58,21.990000000000002,,,,-2.854553692795647
2023-06-09,21.44,22.09,21.42,21.66,21.79,2048383,44631664.12,21.732000000000003,21.845,21.744000000000003,21.76047619047619,,,,,21.682582485419353,21.743981711410687,21.767549552709013,21.81437795562537,21.842417233560095,21.863463203463205,,,,,21.423481481481485,40.24739256903781,43.29434483971135,73.95655481276765,-17.917088771031043,0.9638819657274451,0.48999999999999844,,16.556072293384897,21.025373010587252,,16.556072293384897,21.025373010587252,92.85714285714286,14.28571428571429,-78.57142857142857,14.28571428571429,92.85714285714286,24.00168350168349,30.75907220351664,24.00168350168349,30.75907220351664,,,,,-69.19191919191923,-0.19590454743379687,21.032567642006637,21.744000000000003,22.45543235799337,6.543711902072909,0.44096416963874846,21.744000000000003,21.744000000000003,22.45543235799337,,,,,,,22.331471999999998,0.04,0,22.331471999999998,,21.746851233942916,21.22,0.31837139707015905,21.990000000000002,,,,,,31.14,21.990000000000002,,,,-2.564102564102566
2023-06-12,21.7,22.05,21.52,21.54,21.75,3161671,68752464.51,21.576,21.837,21.747999999999998,21.734285714285715,,,,,21.63505499027957,21.69865244220831,21.72617690676192,21.775181104821748,21.813615592268658,21.83405745769382,,,,,21.3737037037037,38.81645517068703,40.10049825674955,65.48949097767876,-21.02279437817457,0.9253421389526308,-0.08000000000000185,,15.713768021936973,19.955689260614772,,15.713768021936973,19.955689260614772,85.71428571428572,7.14285714285714,-78.57142857142858,7.14285714285714,85.71428571428572,25.084175084175055,25.106060606060595,25.084175084175055,25.106060606060595,,,,,-75.25252525252533,-0.14545589850827284,21.042121823541763,21.747999999999998,22.453878176458232,6.491430719682132,0.3526657949367094,21.747999999999998,21.747999999999998,22.453878176458232,,,,,,,22.21461312,0.04,0,22.21461312,,21.791675472051015,21.22,0.5632171960420219,21.990000000000002,,,,,,30.52,21.990000000000002,,,,-3.4946236559139865
2023-06-13,21.54,21.72,21.07,21.23,21.35,1502658,32087157.87,21.466,21.78,21.755000000000003,21.723333333333333,,,,,21.50003666018638,21.594507455050906,21.6359629237143,21.697298089847212,21.758033154909736,21.779143143358016,,,,,21.32166666666667,35.322630888992556,32.80644008206586,56.0210103228016,-121.65605095541441,0.9013029187687891,-0.5700000000000003,,14.724370974190025,23.05823083956039,,14.724370974190025,23.05823083956039,78.57142857142857,0.0,-78.57142857142857,0.0,78.57142857142857,21.710007880220605,23.598622155359717,21.710007880220605,23.598622155359717,,,,,-90.42553191489363,-0.18456931545166164,21.0729882698956,21.755000000000003,22.437011730104405,6.269930867427283,0.11510925925010503,21.755000000000003,21.755000000000003,22.437011730104405,,,,,,,22.1024285952,0.04,0,22.1024285952,,21.838398226232414,21.950000000000003,0.27962628017121915,21.865000000000002,,,,,,30.62,21.865000000000002,,,,-2.5252525252525304
2023-06-14,21.27,21.42,20.8,21.27,21.16,1379413,29190475.79,21.428,21.700000000000003,21.752,21.73190476190476,,,,,21.42335777345759,21.522394687261816,21.5694242103117,21.63625550558333,21.711553806823094,21.73285740305274,,,,,21.25751851851852,36.12158584236371,34.597294389490514,56.458228638916786,-156.4052447267699,0.8771271489912614,-0.8000000000000007,,13.829888244903454,24.302976093845793,,13.829888244903454,24.302976093845793,100.0,28.57142857142857,-71.42857142857143,28.57142857142857,100.0,18.795890177370506,21.863357713922056,18.795890177370506,21.863357713922056,,,,,-77.93427230046952,-0.16292037611595256,21.06205507466175,21.752,22.441944925338248,6.3437378203222625,0.15069675687251688,21.752,21.752,22.441944925338248,,,,,,,22.05,0.04,0,22.05,,21.899722534797153,21.915,0.2854957725596139,21.740000000000002,,,,,,30.38,21.740000000000002,,,,-0.8853681267474434
2023-06-15,21.29,22.31,21.17,21.7,21.73,2820287,61295694.61,21.479999999999997,21.663,21.735500000000002,21.74952380952381,,,,,21.515571848971724,21.561862534536967,21.593165262982296,21.64536186192857,21.710453444268513,21.729870366411582,,,,,21.323629629629632,44.11380907267582,50.98213583380212,61.28423843982969,-16.69151756129767,0.8993958024073855,-0.370000000000001,,20.727673817360532,21.693449810713645,,20.727673817360532,21.693449810713645,92.85714285714286,21.42857142857143,-71.42857142857143,21.42857142857143,92.85714285714286,24.631238970465787,21.7123790093523,24.631238970465787,21.7123790093523,,,,,-57.74647887323948,-0.23500306666510848,21.057252994846273,21.735500000000002,22.41374700515373,6.240914680165893,0.4738295932527146,21.735500000000002,21.735500000000002,22.41374700515373,-0.17636218706284268,,,-0.17636218706284268,,19.41,,0.02,1,19.41,,21.86831590439387,21.915,0.6915175219087366,21.689999999999998,22.32,22.005,,,,30.58,21.689999999999998,22.32,22.005,,1.2126865671641784
2023-06-16,21.7,22.25,21.64,21.64,21.87,1449360,31699025.03,21.476,21.604000000000003,21.721,21.73095238095238,,,,,21.557047899314483,21.579226415750973,21.601680669712785,21.644595881653064,21.70374359243342,21.721700333101438,,,,,21.46181481481481,43.29973081751209,48.98441836009747,59.17873192587529,11.494252873563243,0.8752017156630507,-0.5899999999999999,,19.51988988899195,20.42939093642233,,19.51988988899195,20.42939093642233,85.71428571428572,14.28571428571429,-71.42857142857143,14.28571428571429,85.71428571428572,34.58528951486695,26.004139554234413,34.58528951486695,26.004139554234413,,,,,-60.56338028169013,-0.30694525250428367,21.04762343373117,21.721,22.39437656626883,6.200235406001827,0.43985534687610267,21.721,21.721,22.39437656626883,-0.16248398076914938,,,-0.16248398076914938,,19.468,,0.02,0,19.468,,21.857470129770483,21.915,0.3878891206507499,21.61,22.32,21.965,,,,30.87,21.61,22.32,21.965,,-0.09233610341643494
2023-06-19,21.64,21.64,20.91,20.91,21.28,1009015,21471940.1,21.35,21.463,21.685499999999998,21.682380952380953,,,,,21.341365266209657,21.43050943447298,21.47592054794682,21.539653612845484,21.628148964582618,21.647909393728582,,,,,21.390555555555554,34.86865360681281,31.476853221133744,54.26667585389666,-136.90242855276213,0.8632085510761159,-1.4100000000000001,12.394941659912261,18.156416910177725,25.98743332205902,12.394941659912261,18.156416910177725,25.98743332205902,78.57142857142857,7.14285714285714,-71.42857142857143,7.14285714285714,78.57142857142857,28.95148669796555,29.38933839443276,28.95148669796555,29.38933839443276,,,,,-94.83568075117374,-0.28297891751581195,20.925303314924353,21.685499999999998,22.445696685075642,7.011105900953585,-0.01006536546711584,21.685499999999998,21.685499999999998,22.445696685075642,-0.2079926911570631,,,-0.2079926911570631,,19.52484,,0.02,0,19.52484,,21.86930854814249,21.915,0.28712006715321026,21.555,21.22,21.3875,,,,32.44,21.555,21.22,21.3875,,-2.924791086350975
2023-06-20,20.91,20.91,20.01,20.01,20.42,1219623,24906653.06,21.106,21.286,21.573500000000003,21.60571428571429,,,,,20.89757684413977,21.11484067125676,21.209389539229214,21.32113166815327,21.474039539384272,21.49900853975326,,,,,20.90462962962963,27.70597269115048,20.789368098638842,43.5358051727581,-262.0652034398664,0.8662138357604159,-1.7699999999999996,14.484269406807648,16.615475003568477,32.268907589474615,14.484269406807648,16.615475003568477,32.268907589474615,100.0,0.0,-100.0,0.0,100.0,14.866979655712045,26.134585289514845,14.866979655712045,26.134585289514845,,,,,-100.0,-0.35021189007924025,20.560854454905375,21.573500000000003,22.58614554509463,9.387865159520969,-0.2719877935442345,21.573500000000003,21.573500000000003,22.58614554509463,-0.31307224839936865,,,-0.31307224839936865,,19.5805432,,0.02,0,19.5805432,,21.784684636066718,21.520000000000003,0.37075423639659105,21.16,21.22,21.189999999999998,,,,31.85,21.16,21.22,21.189999999999998,,-5.746585021196415
2023-06-21,20.35,22.01,20.15,21.74,21.79,9163093,199625219.85,21.2,21.314,21.558,21.58142857142857,21.708666666666666,,,,21.17838456275985,21.253764966533037,21.305864168460264,21.380970001274232,21.49936910706196,21.520916854321143,21.708666666666666,,,,20.80362962962963,49.27570387687432,55.03070338419246,59.785382746590514,-62.796816839943936,0.957886224228574,0.2799999999999976,13.762205310805353,23.095544038516216,26.82127605354748,13.762205310805353,23.095544038516216,26.82127605354748,92.85714285714286,7.14285714285714,-85.71428571428572,7.14285714285714,92.85714285714286,23.319442246487636,22.379302866721744,23.319442246487636,22.379302866721744,33.333333333333336,,33.333333333333336,,-35.20599250936337,-0.20015682177459823,20.56571778208012,21.558,22.55028221791988,9.20569828295648,0.5917077806662329,21.558,21.558,22.55028221791988,-0.2538260639208403,,,-0.2538260639208403,,19.635132336,,0.02,0,19.635132336,,21.737559398575595,21.47,2.9817434525206092,21.16,21.520000000000003,21.340000000000003,,,,31.36,21.16,21.520000000000003,21.340000000000003,,2.2096850023507253
